sim,front,mid,back,lat_left,lat_right,coronal,condition,GGP,GGM,GGA,STY,MH,HG,TRANS,VERT,SL,IL,JAW.OPEN,JAW.CLOSE
56887,0,0,0,1,1,0,5mm,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.1,0,0.0015
57363,0,0,0,1,2,0,5mm,0.25,0.25,0.25,0,0.25,0,0,0.1,0.25,0,0,0.0015
57371,0,0,0,1,2,0,5mm,0.25,0.25,0.25,0,0.25,0,0,0.25,0.1,0.25,0,0.0015
13380,0,0,0,1,1,0,5mm,0,0.25,0,0,0.1,0,0,0.1,0.25,0,0,0.0015
13389,0,0,0,1,1,0,5mm,0,0.25,0,0,0.1,0,0,0.25,0.25,0,0,0.0015
14379,0,0,0,1,1,0,5mm,0,0.25,0,0.1,0.25,0,0.1,0.1,0.25,0,0,0.0015
19950,0,3,0,1,2,3,5mm,0.1,0,0,0,0.1,0,0,0.25,0.25,0,0,0.0015
20193,0,3,0,2,2,3,5mm,0.1,0,0,0,0.25,0,0,0.25,0.25,0,0,0.0015
26736,0,0,0,2,1,0,5mm,0.1,0.1,0,0,0.25,0,0,0,0.25,0,0,0.0015
26745,0,0,0,2,2,0,5mm,0.1,0.1,0,0,0.25,0,0,0.1,0.25,0,0,0.0015
33074,0,0,0,1,1,0,5mm,0.1,0.25,0,0,0.1,0,0,0.25,0.25,0.25,0,0.0015
33298,0,0,0,2,2,0,5mm,0.1,0.25,0,0,0.25,0,0,0,0.25,0.1,0,0.0015
33306,0,0,0,2,2,0,5mm,0.1,0.25,0,0,0.25,0,0,0.1,0.25,0,0,0.0015
36213,0,0,0,2,2,0,5mm,0.1,0.25,0.1,0.1,0.25,0,0,0,0.25,0,0,0.0015
36233,0,0,0,2,2,0,5mm,0.1,0.25,0.1,0.1,0.25,0,0,0.25,0.25,0.25,0,0.0015
39619,0,0,0,1,1,0,5mm,0.25,0,0,0,0.1,0,0,0.1,0,0.1,0,0.0015
39635,0,0,0,2,2,0,5mm,0.25,0,0,0,0.1,0,0,0.25,0.25,0.25,0,0.0015
39651,2,7,0,1,1,8,5mm,0.25,0,0,0,0.1,0,0.1,0.1,0.25,0,0,0.0015
39862,0,0,0,2,1,0,5mm,0.25,0,0,0,0.25,0,0,0.1,0,0.1,0,0.0015
