,L_ANT,R_ANT,L_AG,R_AG,SL_ACT,HG_L,HG_R,GGP_L,GGP_R,IL_L,IL_R,SL,MH_L,MH_R,GGA_L,GGA_R,GGM_L,GGM_R,TRANS_L,TRANS_R,STY_L,STY_R,VERT_L,VERT_R,BI_CLOSE
87,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.1,0.1,0.15,0.1,0.0,0.0,0.0,0.0,0.15,0.1,0.25,0.25,0.0015
88,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.125,0.25,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0015
89,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0015
90,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.125,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0015
91,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0015
92,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.1,0.1,0.1,0.125,0.25,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.05,0.1,0.0015
93,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.1,0.1,0.1,0.25,0.25,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0015
94,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.15,0.1,0.1,0.125,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.15,0.1,0.05,0.1,0.0015
95,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.15,0.1,0.1,0.25,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.15,0.1,0.1,0.1,0.0015
96,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.1,0.1,0.0,0.125,0.25,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.125,0.25,0.0015
97,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.1,0.1,0.0,0.25,0.25,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,0.0015
98,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.15,0.1,0.0,0.125,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.15,0.1,0.125,0.25,0.0015
99,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.15,0.1,0.0,0.25,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.15,0.1,0.25,0.25,0.0015
100,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.1,0.1,0.0,0.05,0.1,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
101,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.1,0.1,0.0,0.1,0.1,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
102,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.15,0.1,0.0,0.05,0.1,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
103,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.15,0.1,0.0,0.1,0.1,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
104,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.1,0.125,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
105,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.1,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
106,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.1,0.125,0.25,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
107,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.1,0.25,0.25,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
108,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.1,0.1,0.25,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
109,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.1,0.1,0.25,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
110,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.15,0.1,0.25,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
111,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.15,0.1,0.25,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
112,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.0015
113,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0015
114,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.0015
115,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0015
116,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.25,0.25,0.25,0.05,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.0015
117,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0015
118,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.375,0.25,0.25,0.05,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.0015
119,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.375,0.25,0.25,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0015
120,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.1,0.1,0.25,0.05,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
121,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.1,0.1,0.25,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
122,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.15,0.1,0.25,0.05,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
123,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.15,0.1,0.25,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
124,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.05,0.1,0.0,0.0,0.05,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0015
125,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0015
126,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.05,0.1,0.0,0.0,0.05,0.1,0.15,0.1,0.0,0.0,0.0,0.0,0.0015
127,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.1,0.1,0.0,0.0,0.1,0.1,0.15,0.1,0.0,0.0,0.0,0.0,0.0015
128,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.25,0.25,0.25,0.125,0.25,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.0015
129,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0015
130,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.375,0.25,0.25,0.125,0.25,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.0015
131,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.375,0.25,0.25,0.25,0.25,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0015
132,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.1,0.1,0.25,0.125,0.25,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
133,1.0,1,1.0,1,1,0.0,0.0,0.25,0.25,0.1,0.1,0.25,0.25,0.25,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
134,1.5,1,0.5,1,1,0.0,0.0,0.125,0.25,0.15,0.1,0.25,0.125,0.25,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
135,1.5,1,1.0,1,1,0.0,0.0,0.25,0.25,0.15,0.1,0.25,0.25,0.25,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
136,1.0,1,0.5,1,1,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.05,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0015
