,L_ANT,R_ANT,L_AG,R_AG,SL_ACT,HG_L,HG_R,SL,GGM_L,GGM_R,STY_L,STY_R,TRANS_L,TRANS_R,IL_L,IL_R,VERT_L,VERT_R,GGP_L,GGP_R,GGA_L,GGA_R,MH_L,MH_R
80,1.0,1,0.8,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.2,0.25,0.0,0.0,0.0,0.0
81,1.0,1,0.8,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.2,0.25,0.0,0.0,0.0,0.0
82,1.0,1,1.0,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,0.0,0.0,0.0,0.0
83,1.0,1,1.0,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,0.0,0.0,0.0,0.0
84,1.2,1,0.8,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.2,0.25,0.0,0.0,0.0,0.0
85,1.2,1,0.8,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.2,0.25,0.0,0.0,0.0,0.0
86,1.2,1,1.0,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,0.0,0.0,0.0,0.0
87,1.2,1,1.0,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,0.0,0.0,0.0,0.0
88,1.0,1,0.8,1,0.8,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.2,0.25,0.0,0.0,0.08,0.1
89,1.0,1,0.8,1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.2,0.25,0.0,0.0,0.08,0.1
